Sampling_week,Treatment,Mesocosm,BLOCK,sum_det_mass_mg,sum_pred_mass_mg,Ladybirds,Prochloraz_soil_ng_g,Azoxystrobin_soil_ng_g,Cypermethrin_soil_ng_g,AZO_0.5,PCZ_0.5,CYP_0.5,Wingless_Aphis_Fabae
W1,Pr.X.Az,Meso_60,5,378.7954765,1.624784664,0,853.28,884.82,0,1,1,0,1100
W2,Az.,Meso_17,2,82.51993603,5.720644342,0,NA,NA,NA,1,0,0,10
W2,Az.,Meso_26,1,93.81236653,27.16319301,0,NA,NA,NA,1,0,0,800
W2,Az.,Meso_39,4,530.1938194,36.67427174,0,NA,NA,NA,1,0,0,2100
W2,Az.,Meso_45,5,13.55417214,14.87401219,4,NA,NA,NA,1,0,0,1250
W2,Az.,Meso_48,3,6.134182686,12.38554282,6,NA,NA,NA,1,0,0,352
W2,Cont.,Meso_29,4,566.2637964,16.64721469,1,NA,NA,NA,0,0,0,2100
W2,Cont.,Meso_31,1,177.4727236,35.69695536,1,NA,NA,NA,0,0,0,500
W2,Cont.,Meso_40,5,25.14834178,75.16528402,2,NA,NA,NA,0,0,0,2120
W2,Cont.,Meso_42,2,8.744496273,9.324758299,2,NA,NA,NA,0,0,0,370
W2,Cont.,Meso_53,3,2.396049603,21.46495351,7,NA,NA,NA,0,0,0,520
W2,Cy.,Meso_13,3,98.35261603,19.83803833,1,NA,NA,NA,0,0,1,2
W2,Cy.,Meso_22,2,215.4674332,8.909807761,0,NA,NA,NA,0,0,1,25
W2,Cy.,Meso_25,5,40.92990225,30.85862333,0,NA,NA,NA,0,0,1,10
W2,Cy.,Meso_34,4,36.64279715,13.01997814,2,NA,NA,NA,0,0,1,6
W2,Cy.,Meso_51,1,7.57133094,48.4808875,1,NA,NA,NA,0,0,1,2
W2,Cy.X.Az,Meso_21,1,65.13529571,19.25162355,1,NA,NA,NA,1,0,1,0
W2,Cy.X.Az,Meso_35,5,202.6738728,12.74751753,0,NA,NA,NA,1,0,1,0
W2,Cy.X.Az,Meso_38,3,17.18079049,18.55271861,6,NA,NA,NA,1,0,1,0
W2,Cy.X.Az,Meso_47,2,3.011855298,4.89348999,1,NA,NA,NA,1,0,1,2
W2,Cy.X.Az,Meso_59,4,52.3306044,8.582343693,2,NA,NA,NA,1,0,1,320
W2,Cy.X.Pr,Meso_15,5,93.13437144,11.69614383,1,NA,NA,NA,0,1,1,10
